"County","State","State_FIPS","County_FIPS","Category","Percent_Change_Mortality_Rate_1980_2014"
"Madison County"," Arkansas","50","87","Cardiovascular diseases",-31.21
"Marion County"," Arkansas","50","89","Cardiovascular diseases",-30.28
"Miller County"," Arkansas","50","91","Cardiovascular diseases",-39.47
"Mississippi County"," Arkansas","50","93","Cardiovascular diseases",-30.06
"Monroe County"," Arkansas","50","95","Cardiovascular diseases",-34.28
"Montgomery County"," Arkansas","50","97","Cardiovascular diseases",-36.71
"Nevada County"," Arkansas","50","99","Cardiovascular diseases",-28.04
"Newton County"," Arkansas","51","01","Cardiovascular diseases",-31.98
"Ouachita County"," Arkansas","51","03","Cardiovascular diseases",-27.35
"Perry County"," Arkansas","51","05","Cardiovascular diseases",-42.28
"Phillips County"," Arkansas","51","07","Cardiovascular diseases",-34.34
"Pike County"," Arkansas","51","09","Cardiovascular diseases",-26.37
"Poinsett County"," Arkansas","51","11","Cardiovascular diseases",-24.25
"Polk County"," Arkansas","51","13","Cardiovascular diseases",-30.13
"Pope County"," Arkansas","51","15","Cardiovascular diseases",-34.02
"Prairie County"," Arkansas","51","17","Cardiovascular diseases",-38.76
"Pulaski County"," Arkansas","51","19","Cardiovascular diseases",-44.05
"Randolph County"," Arkansas","51","21","Cardiovascular diseases",-36.09
"Saint Francis County"," Arkansas","51","23","Cardiovascular diseases",-33.61
"Saline County"," Arkansas","51","25","Cardiovascular diseases",-47.05
"Scott County"," Arkansas","51","27","Cardiovascular diseases",-32.83
"Searcy County"," Arkansas","51","29","Cardiovascular diseases",-29.11
"Sebastian County"," Arkansas","51","31","Cardiovascular diseases",-35.19
"Sevier County"," Arkansas","51","33","Cardiovascular diseases",-38.87
"Sharp County"," Arkansas","51","35","Cardiovascular diseases",-26.86
"Stone County"," Arkansas","51","37","Cardiovascular diseases",-44.38
"Union County"," Arkansas","51","39","Cardiovascular diseases",-36.42
"Van Buren County"," Arkansas","51","41","Cardiovascular diseases",-38.56
"Washington County"," Arkansas","51","43","Cardiovascular diseases",-37.62
"White County"," Arkansas","51","45","Cardiovascular diseases",-28.58
"Woodruff County"," Arkansas","51","47","Cardiovascular diseases",-28.03
"Yell County"," Arkansas","51","49","Cardiovascular diseases",-30.91
"Alameda County"," California","60","01","Cardiovascular diseases",-59.88
"Alpine County"," California","60","03","Cardiovascular diseases",-46.16
"Amador County"," California","60","05","Cardiovascular diseases",-41.71
"Butte County"," California","60","07","Cardiovascular diseases",-36.99
"Calaveras County"," California","60","09","Cardiovascular diseases",-46.42
"Colusa County"," California","60","11","Cardiovascular diseases",-58.97
"Contra Costa County"," California","60","13","Cardiovascular diseases",-52.11
"Del Norte County"," California","60","15","Cardiovascular diseases",-43.29
"El Dorado County"," California","60","17","Cardiovascular diseases",-51.81
"Fresno County"," California","60","19","Cardiovascular diseases",-40.21
"Glenn County"," California","60","21","Cardiovascular diseases",-50.62
"Humboldt County"," California","60","23","Cardiovascular diseases",-39.68
"Imperial County"," California","60","25","Cardiovascular diseases",-57.49
"Inyo County"," California","60","27","Cardiovascular diseases",-41.56
"Kern County"," California","60","29","Cardiovascular diseases",-40.46
"Kings County"," California","60","31","Cardiovascular diseases",-55.54
"Lake County"," California","60","33","Cardiovascular diseases",-33.14
"Lassen County"," California","60","35","Cardiovascular diseases",-42.96
"Los Angeles County"," California","60","37","Cardiovascular diseases",-58.99
"Madera County"," California","60","39","Cardiovascular diseases",-42.26
"Marin County"," California","60","41","Cardiovascular diseases",-62.6
"Mariposa County"," California","60","43","Cardiovascular diseases",-49.86
"Mendocino County"," California","60","45","Cardiovascular diseases",-43.65
"Merced County"," California","60","47","Cardiovascular diseases",-44.69
"Modoc County"," California","60","49","Cardiovascular diseases",-39.92
"Mono County"," California","60","51","Cardiovascular diseases",-52.33
"Monterey County"," California","60","53","Cardiovascular diseases",-54.87
"Napa County"," California","60","55","Cardiovascular diseases",-40.79
"Nevada County"," California","60","57","Cardiovascular diseases",-47.77
"Orange County"," California","60","59","Cardiovascular diseases",-53.28
"Placer County"," California","60","61","Cardiovascular diseases",-54.83
"Plumas County"," California","60","63","Cardiovascular diseases",-41.83
"Riverside County"," California","60","65","Cardiovascular diseases",-51.46
"Sacramento County"," California","60","67","Cardiovascular diseases",-46.18
"San Benito County"," California","60","69","Cardiovascular diseases",-54.38
"San Bernardino County"," California","60","71","Cardiovascular diseases",-47.85
"San Diego County"," California","60","73","Cardiovascular diseases",-50.97
"San Francisco County"," California","60","75","Cardiovascular diseases",-61.93
"San Joaquin County"," California","60","77","Cardiovascular diseases",-44.03
"San Luis Obispo County"," California","60","79","Cardiovascular diseases",-47.29
"San Mateo County"," California","60","81","Cardiovascular diseases",-58.47
"Santa Barbara County"," California","60","83","Cardiovascular diseases",-45.89
"Santa Clara County"," California","60","85","Cardiovascular diseases",-60.25
"Santa Cruz County"," California","60","87","Cardiovascular diseases",-47.27
"Shasta County"," California","60","89","Cardiovascular diseases",-32.66
"Sierra County"," California","60","91","Cardiovascular diseases",-42.5
"Siskiyou County"," California","60","93","Cardiovascular diseases",-42.13
"Solano County"," California","60","95","Cardiovascular diseases",-55.79
"Sonoma County"," California","60","97","Cardiovascular diseases",-48.4
"Stanislaus County"," California","60","99","Cardiovascular diseases",-36.03
"Sutter County"," California","61","01","Cardiovascular diseases",-46.16
"Tehama County"," California","61","03","Cardiovascular diseases",-44.17
"Trinity County"," California","61","05","Cardiovascular diseases",-48
"Tulare County"," California","61","07","Cardiovascular diseases",-41.44
"Tuolumne County"," California","61","09","Cardiovascular diseases",-42.16
"Ventura County"," California","61","11","Cardiovascular diseases",-51.61
"Yolo County"," California","61","13","Cardiovascular diseases",-60.15
"Yuba County"," California","61","15","Cardiovascular diseases",-36.02
"Adams County"," Colorado","80","01","Cardiovascular diseases",-46.64
"Alamosa County"," Colorado","80","03","Cardiovascular diseases",-39.2
"Arapahoe County"," Colorado","80","05","Cardiovascular diseases",-46.64
"Archuleta County"," Colorado","80","07","Cardiovascular diseases",-57.07
"Baca County"," Colorado","80","09","Cardiovascular diseases",-38.39
"Bent County"," Colorado","80","11","Cardiovascular diseases",-42.69
"Boulder County"," Colorado","80","13","Cardiovascular diseases",-46.64
"Broomfield County"," Colorado","80","14","Cardiovascular diseases",-46.64
"Chaffee County"," Colorado","80","15","Cardiovascular diseases",-59.01
"Cheyenne County"," Colorado","80","17","Cardiovascular diseases",-49.1
"Clear Creek County"," Colorado","80","19","Cardiovascular diseases",-54.77
"Conejos County"," Colorado","80","21","Cardiovascular diseases",-43.37
"Costilla County"," Colorado","80","23","Cardiovascular diseases",-44.53
"Crowley County"," Colorado","80","25","Cardiovascular diseases",-51.08
"Custer County"," Colorado","80","27","Cardiovascular diseases",-55.31
"Delta County"," Colorado","80","29","Cardiovascular diseases",-28.4
"Denver County"," Colorado","80","31","Cardiovascular diseases",-46.64
"Dolores County"," Colorado","80","33","Cardiovascular diseases",-39.64
"Douglas County"," Colorado","80","35","Cardiovascular diseases",-64.67
"Eagle County"," Colorado","80","37","Cardiovascular diseases",-67.46
"El Paso County"," Colorado","80","41","Cardiovascular diseases",-46.65
"Elbert County"," Colorado","80","39","Cardiovascular diseases",-53.29
"Fremont County"," Colorado","80","43","Cardiovascular diseases",-46.34
"Garfield County"," Colorado","80","45","Cardiovascular diseases",-47.09
"Gilpin County"," Colorado","80","47","Cardiovascular diseases",-46.87
"Grand County"," Colorado","80","49","Cardiovascular diseases",-60.37
"Gunnison County"," Colorado","80","51","Cardiovascular diseases",-54.84
"Hinsdale County"," Colorado","80","53","Cardiovascular diseases",-67.27
"Huerfano County"," Colorado","80","55","Cardiovascular diseases",-40.72
"Jackson County"," Colorado","80","57","Cardiovascular diseases",-53.21
"Jefferson County"," Colorado","80","59","Cardiovascular diseases",-46.64
"Kiowa County"," Colorado","80","61","Cardiovascular diseases",-47.55
"Kit Carson County"," Colorado","80","63","Cardiovascular diseases",-49.6
"La Plata County"," Colorado","80","67","Cardiovascular diseases",-54.47
"Lake County"," Colorado","80","65","Cardiovascular diseases",-56.08
"Larimer County"," Colorado","80","69","Cardiovascular diseases",-44.42
"Las Animas County"," Colorado","80","71","Cardiovascular diseases",-42.97
"Lincoln County"," Colorado","80","73","Cardiovascular diseases",-51.65
"Logan County"," Colorado","80","75","Cardiovascular diseases",-43.35
"Mesa County"," Colorado","80","77","Cardiovascular diseases",-38.05
"Mineral County"," Colorado","80","79","Cardiovascular diseases",-52.76
"Moffat County"," Colorado","80","81","Cardiovascular diseases",-43.96
"Montezuma County"," Colorado","80","83","Cardiovascular diseases",-35.16
"Montrose County"," Colorado","80","85","Cardiovascular diseases",-40.17
"Morgan County"," Colorado","80","87","Cardiovascular diseases",-51.46
"Otero County"," Colorado","80","89","Cardiovascular diseases",-39.76
"Ouray County"," Colorado","80","91","Cardiovascular diseases",-51.98
"Park County"," Colorado","80","93","Cardiovascular diseases",-57
"Phillips County"," Colorado","80","95","Cardiovascular diseases",-49.31
"Pitkin County"," Colorado","80","97","Cardiovascular diseases",-66.9
"Prowers County"," Colorado","80","99","Cardiovascular diseases",-50.71
"Pueblo County"," Colorado","81","01","Cardiovascular diseases",-47.51
"Rio Blanco County"," Colorado","81","03","Cardiovascular diseases",-48.47
"Rio Grande County"," Colorado","81","05","Cardiovascular diseases",-37.37
"Routt County"," Colorado","81","07","Cardiovascular diseases",-62.48
"Saguache County"," Colorado","81","09","Cardiovascular diseases",-52.97
"San Juan County"," Colorado","81","11","Cardiovascular diseases",-50.16
"San Miguel County"," Colorado","81","13","Cardiovascular diseases",-56.78
"Sedgwick County"," Colorado","81","15","Cardiovascular diseases",-40.24
"Summit County"," Colorado","81","17","Cardiovascular diseases",-63.57
"Teller County"," Colorado","81","19","Cardiovascular diseases",-53.19
"Washington County"," Colorado","81","21","Cardiovascular diseases",-53.05
"Weld County"," Colorado","81","23","Cardiovascular diseases",-46.64
"Yuma County"," Colorado","81","25","Cardiovascular diseases",-48.45
"Fairfield County"," Connecticut","90","01","Cardiovascular diseases",-55.6
"Hartford County"," Connecticut","90","03","Cardiovascular diseases",-49.44
"Litchfield County"," Connecticut","90","05","Cardiovascular diseases",-51.85
"Middlesex County"," Connecticut","90","07","Cardiovascular diseases",-58.24
"New Haven County"," Connecticut","90","09","Cardiovascular diseases",-55.04
"New London County"," Connecticut","90","11","Cardiovascular diseases",-55.82
"Tolland County"," Connecticut","90","13","Cardiovascular diseases",-54.06
"Windham County"," Connecticut","90","15","Cardiovascular diseases",-47.76
"Kent County"," Delaware","10","001","Cardiovascular diseases",-49.05
"New Castle County"," Delaware","10","003","Cardiovascular diseases",-54.05
"Sussex County"," Delaware","10","005","Cardiovascular diseases",-53.86
"District of Columbia"," District of Columbia","11","001","Cardiovascular diseases",-43.44
"Alachua County"," Florida","12","001","Cardiovascular diseases",-51.53
"Baker County"," Florida","12","003","Cardiovascular diseases",-46.43
"Bay County"," Florida","12","005","Cardiovascular diseases",-43.58
"Bradford County"," Florida","12","007","Cardiovascular diseases",-48.74
"Brevard County"," Florida","12","009","Cardiovascular diseases",-45.44
"Broward County"," Florida","12","011","Cardiovascular diseases",-41.06
"Calhoun County"," Florida","12","013","Cardiovascular diseases",-44.83
"Charlotte County"," Florida","12","015","Cardiovascular diseases",-52.62
"Citrus County"," Florida","12","017","Cardiovascular diseases",-34.47
"Clay County"," Florida","12","019","Cardiovascular diseases",-53.81
"Collier County"," Florida","12","021","Cardiovascular diseases",-63.39
"Columbia County"," Florida","12","023","Cardiovascular diseases",-43.27
"DeSoto County"," Florida","12","027","Cardiovascular diseases",-61.12
"Dixie County"," Florida","12","029","Cardiovascular diseases",-36.93
"Duval County"," Florida","12","031","Cardiovascular diseases",-47.59
"Escambia County"," Florida","12","033","Cardiovascular diseases",-42.47
"Flagler County"," Florida","12","035","Cardiovascular diseases",-56.32
"Franklin County"," Florida","12","037","Cardiovascular diseases",-47.9
"Gadsden County"," Florida","12","039","Cardiovascular diseases",-36.62
"Gilchrist County"," Florida","12","041","Cardiovascular diseases",-54
"Glades County"," Florida","12","043","Cardiovascular diseases",-61.59
"Gulf County"," Florida","12","045","Cardiovascular diseases",-44.15
"Hamilton County"," Florida","12","047","Cardiovascular diseases",-47.68
"Hardee County"," Florida","12","049","Cardiovascular diseases",-57.28
"Hendry County"," Florida","12","051","Cardiovascular diseases",-56.39
"Hernando County"," Florida","12","053","Cardiovascular diseases",-39.18
"Highlands County"," Florida","12","055","Cardiovascular diseases",-52.04
"Hillsborough County"," Florida","12","057","Cardiovascular diseases",-49.53
"Holmes County"," Florida","12","059","Cardiovascular diseases",-33.18
"Indian River County"," Florida","12","061","Cardiovascular diseases",-49.84
"Jackson County"," Florida","12","063","Cardiovascular diseases",-41.4
"Jefferson County"," Florida","12","065","Cardiovascular diseases",-42.54
"Lafayette County"," Florida","12","067","Cardiovascular diseases",-44.31
"Lake County"," Florida","12","069","Cardiovascular diseases",-47.14
"Lee County"," Florida","12","071","Cardiovascular diseases",-53.67
"Leon County"," Florida","12","073","Cardiovascular diseases",-44.38
"Levy County"," Florida","12","075","Cardiovascular diseases",-46.74
"Liberty County"," Florida","12","077","Cardiovascular diseases",-43.74
"Madison County"," Florida","12","079","Cardiovascular diseases",-33.96
"Manatee County"," Florida","12","081","Cardiovascular diseases",-49.23
"Marion County"," Florida","12","083","Cardiovascular diseases",-45.1
"Martin County"," Florida","12","085","Cardiovascular diseases",-57.74
"Miami-Dade County"," Florida","12","086","Cardiovascular diseases",-48.42
"Monroe County"," Florida","12","087","Cardiovascular diseases",-45.73
"Nassau County"," Florida","12","089","Cardiovascular diseases",-53.46
"Okaloosa County"," Florida","12","091","Cardiovascular diseases",-55.18
"Okeechobee County"," Florida","12","093","Cardiovascular diseases",-47.33
"Orange County"," Florida","12","095","Cardiovascular diseases",-53.36
"Osceola County"," Florida","12","097","Cardiovascular diseases",-49.46
"Palm Beach County"," Florida","12","099","Cardiovascular diseases",-54
"Pasco County"," Florida","12","101","Cardiovascular diseases",-35.89
"Pinellas County"," Florida","12","103","Cardiovascular diseases",-42.4
"Polk County"," Florida","12","105","Cardiovascular diseases",-45.46
"Putnam County"," Florida","12","107","Cardiovascular diseases",-44.48
"Saint Johns County"," Florida","12","109","Cardiovascular diseases",-62.74
"Saint Lucie County"," Florida","12","111","Cardiovascular diseases",-56.79
"Santa Rosa County"," Florida","12","113","Cardiovascular diseases",-55.03
"Sarasota County"," Florida","12","115","Cardiovascular diseases",-54.97
"Seminole County"," Florida","12","117","Cardiovascular diseases",-53.4
"Sumter County"," Florida","12","119","Cardiovascular diseases",-70.7
"Suwannee County"," Florida","12","121","Cardiovascular diseases",-39.73
"Taylor County"," Florida","12","123","Cardiovascular diseases",-47.68
"Union County"," Florida","12","125","Cardiovascular diseases",-44.41
"Volusia County"," Florida","12","127","Cardiovascular diseases",-44.58
"Wakulla County"," Florida","12","129","Cardiovascular diseases",-37.16
"Walton County"," Florida","12","131","Cardiovascular diseases",-48
"Washington County"," Florida","12","133","Cardiovascular diseases",-38.66
"Appling County"," Georgia","13","001","Cardiovascular diseases",-38.18
"Atkinson County"," Georgia","13","003","Cardiovascular diseases",-50.95
"Bacon County"," Georgia","13","005","Cardiovascular diseases",-37.18
"Baker County"," Georgia","13","007","Cardiovascular diseases",-57.13
"Baldwin County"," Georgia","13","009","Cardiovascular diseases",-29.14
"Banks County"," Georgia","13","011","Cardiovascular diseases",-39.63
"Barrow County"," Georgia","13","013","Cardiovascular diseases",-44.75
"Bartow County"," Georgia","13","015","Cardiovascular diseases",-49.49
"Ben Hill County"," Georgia","13","017","Cardiovascular diseases",-48.72
"Berrien County"," Georgia","13","019","Cardiovascular diseases",-43.76
"Bibb County"," Georgia","13","021","Cardiovascular diseases",-32.74
"Bleckley County"," Georgia","13","023","Cardiovascular diseases",-45.51
"Brantley County"," Georgia","13","025","Cardiovascular diseases",-49.29
"Brooks County"," Georgia","13","027","Cardiovascular diseases",-50.58
"Bryan County"," Georgia","13","029","Cardiovascular diseases",-48.92
"Bulloch County"," Georgia","13","031","Cardiovascular diseases",-51.11
"Burke County"," Georgia","13","033","Cardiovascular diseases",-41.1
"Butts County"," Georgia","13","035","Cardiovascular diseases",-41.66
"Calhoun County"," Georgia","13","037","Cardiovascular diseases",-40.12
"Camden County"," Georgia","13","039","Cardiovascular diseases",-53.65
"Candler County"," Georgia","13","043","Cardiovascular diseases",-49.57
"Carroll County"," Georgia","13","045","Cardiovascular diseases",-35.48
"Catoosa County"," Georgia","13","047","Cardiovascular diseases",-48.28
"Charlton County"," Georgia","13","049","Cardiovascular diseases",-47.67
"Chatham County"," Georgia","13","051","Cardiovascular diseases",-47.15
"Chattahoochee County"," Georgia","13","053","Cardiovascular diseases",-48.19
"Chattooga County"," Georgia","13","055","Cardiovascular diseases",-44.81
"Cherokee County"," Georgia","13","057","Cardiovascular diseases",-60.2
"Clarke County"," Georgia","13","059","Cardiovascular diseases",-47.84
"Clay County"," Georgia","13","061","Cardiovascular diseases",-45.84
"Clayton County"," Georgia","13","063","Cardiovascular diseases",-43.77
"Clinch County"," Georgia","13","065","Cardiovascular diseases",-46.63
"Cobb County"," Georgia","13","067","Cardiovascular diseases",-55.34
