"County","State","FIPS","GEO_ID","Category","Percent_Change_Mortality_Rate_1980_2014"
"Sumter County"," Alabama",1119,"0500000US01119","Cardiovascular diseases",-34.23
"Talladega County"," Alabama",1121,"0500000US01121","Cardiovascular diseases",-38.6
"Tallapoosa County"," Alabama",1123,"0500000US01123","Cardiovascular diseases",-42.86
"Tuscaloosa County"," Alabama",1125,"0500000US01125","Cardiovascular diseases",-36.04
"Walker County"," Alabama",1127,"0500000US01127","Cardiovascular diseases",-29.81
"Washington County"," Alabama",1129,"0500000US01129","Cardiovascular diseases",-41.66
"Wilcox County"," Alabama",1131,"0500000US01131","Cardiovascular diseases",-32.29
"Winston County"," Alabama",1133,"0500000US01133","Cardiovascular diseases",-46.79
"Aleutians East Borough"," Alaska",2013,"0500000US02013","Cardiovascular diseases",-74.13
"Aleutians West Census Area"," Alaska",2016,"0500000US02016","Cardiovascular diseases",-74.13
"Anchorage Municipality"," Alaska",2020,"0500000US02020","Cardiovascular diseases",-43.91
"Bethel Census Area"," Alaska",2050,"0500000US02050","Cardiovascular diseases",-38.74
"Bristol Bay Borough"," Alaska",2060,"0500000US02060","Cardiovascular diseases",-49.88
"Denali Borough"," Alaska",2068,"0500000US02068","Cardiovascular diseases",-48.74
"Dillingham Census Area"," Alaska",2070,"0500000US02070","Cardiovascular diseases",-54.64
"Fairbanks North Star Borough"," Alaska",2090,"0500000US02090","Cardiovascular diseases",-53.8
"Haines Borough"," Alaska",2100,"0500000US02100","Cardiovascular diseases",-43.53
"Hoonah-Angoon Census Area"," Alaska",2105,"0500000US02105","Cardiovascular diseases",-60.99
"Juneau City and Borough"," Alaska",2110,"0500000US02110","Cardiovascular diseases",-47.82
"Kenai Peninsula Borough"," Alaska",2122,"0500000US02122","Cardiovascular diseases",-48.44
"Ketchikan Gateway Borough"," Alaska",2130,"0500000US02130","Cardiovascular diseases",-49.4
"Kodiak Island Borough"," Alaska",2150,"0500000US02150","Cardiovascular diseases",-61.71
"Kusilvak Census Area"," Alaska",2158,"0500000US02158","Cardiovascular diseases",-39.06
"Lake and Peninsula Borough"," Alaska",2164,"0500000US02164","Cardiovascular diseases",-54.64
"Matanuska-Susitna Borough"," Alaska",2170,"0500000US02170","Cardiovascular diseases",-47.68
"Nome Census Area"," Alaska",2180,"0500000US02180","Cardiovascular diseases",-40.15
"North Slope Borough"," Alaska",2185,"0500000US02185","Cardiovascular diseases",-67.64
"Northwest Arctic Borough"," Alaska",2188,"0500000US02188","Cardiovascular diseases",-50.11
"Petersburg Borough"," Alaska",2195,"0500000US02195","Cardiovascular diseases",-49.4
"Prince of Wales-Hyder Census Area"," Alaska",2198,"0500000US02198","Cardiovascular diseases",-49.4
"Sitka City and Borough"," Alaska",2220,"0500000US02220","Cardiovascular diseases",-62.17
"Skagway Municipality"," Alaska",2230,"0500000US02230","Cardiovascular diseases",-60.99
"Southeast Fairbanks Census Area"," Alaska",2240,"0500000US02240","Cardiovascular diseases",-47.11
"Valdez-Cordova Census Area"," Alaska",2261,"0500000US02261","Cardiovascular diseases",-49.49
"Wrangell City and Borough"," Alaska",2275,"0500000US02275","Cardiovascular diseases",-49.4
"Yakutat City and Borough"," Alaska",2282,"0500000US02282","Cardiovascular diseases",-60.99
"Yukon-Koyukuk Census Area"," Alaska",2290,"0500000US02290","Cardiovascular diseases",-48.74
"Apache County"," Arizona",4001,"0500000US04001","Cardiovascular diseases",-36.9
"Cochise County"," Arizona",4003,"0500000US04003","Cardiovascular diseases",-39.26
"Coconino County"," Arizona",4005,"0500000US04005","Cardiovascular diseases",-46.69
"Gila County"," Arizona",4007,"0500000US04007","Cardiovascular diseases",-44.62
"Graham County"," Arizona",4009,"0500000US04009","Cardiovascular diseases",-39.14
"Greenlee County"," Arizona",4011,"0500000US04011","Cardiovascular diseases",-46.65
"La Paz County"," Arizona",4012,"0500000US04012","Cardiovascular diseases",-54.59
"Maricopa County"," Arizona",4013,"0500000US04013","Cardiovascular diseases",-50.99
"Mohave County"," Arizona",4015,"0500000US04015","Cardiovascular diseases",-34.81
"Navajo County"," Arizona",4017,"0500000US04017","Cardiovascular diseases",-41.59
"Pima County"," Arizona",4019,"0500000US04019","Cardiovascular diseases",-47.2
"Pinal County"," Arizona",4021,"0500000US04021","Cardiovascular diseases",-61.03
"Santa Cruz County"," Arizona",4023,"0500000US04023","Cardiovascular diseases",-56.72
"Yavapai County"," Arizona",4025,"0500000US04025","Cardiovascular diseases",-49.14
"Yuma County"," Arizona",4027,"0500000US04027","Cardiovascular diseases",-54.59
"Arkansas County"," Arkansas",5001,"0500000US05001","Cardiovascular diseases",-32.94
"Ashley County"," Arkansas",5003,"0500000US05003","Cardiovascular diseases",-28.11
"Baxter County"," Arkansas",5005,"0500000US05005","Cardiovascular diseases",-38.94
"Benton County"," Arkansas",5007,"0500000US05007","Cardiovascular diseases",-45.46
"Boone County"," Arkansas",5009,"0500000US05009","Cardiovascular diseases",-24.69
"Bradley County"," Arkansas",5011,"0500000US05011","Cardiovascular diseases",-24.11
"Calhoun County"," Arkansas",5013,"0500000US05013","Cardiovascular diseases",-40.16
"Carroll County"," Arkansas",5015,"0500000US05015","Cardiovascular diseases",-37.91
"Chicot County"," Arkansas",5017,"0500000US05017","Cardiovascular diseases",-19.19
"Clark County"," Arkansas",5019,"0500000US05019","Cardiovascular diseases",-29.55
"Clay County"," Arkansas",5021,"0500000US05021","Cardiovascular diseases",-23.41
"Cleburne County"," Arkansas",5023,"0500000US05023","Cardiovascular diseases",-38.98
"Cleveland County"," Arkansas",5025,"0500000US05025","Cardiovascular diseases",-32.49
"Columbia County"," Arkansas",5027,"0500000US05027","Cardiovascular diseases",-29.13
"Conway County"," Arkansas",5029,"0500000US05029","Cardiovascular diseases",-38.15
"Craighead County"," Arkansas",5031,"0500000US05031","Cardiovascular diseases",-39.44
"Crawford County"," Arkansas",5033,"0500000US05033","Cardiovascular diseases",-39.01
"Crittenden County"," Arkansas",5035,"0500000US05035","Cardiovascular diseases",-39.46
"Cross County"," Arkansas",5037,"0500000US05037","Cardiovascular diseases",-39.59
"Dallas County"," Arkansas",5039,"0500000US05039","Cardiovascular diseases",-33.22
"Desha County"," Arkansas",5041,"0500000US05041","Cardiovascular diseases",-18.29
"Drew County"," Arkansas",5043,"0500000US05043","Cardiovascular diseases",-33.06
"Faulkner County"," Arkansas",5045,"0500000US05045","Cardiovascular diseases",-38.71
"Franklin County"," Arkansas",5047,"0500000US05047","Cardiovascular diseases",-33.02
"Fulton County"," Arkansas",5049,"0500000US05049","Cardiovascular diseases",-32.15
"Garland County"," Arkansas",5051,"0500000US05051","Cardiovascular diseases",-38.69
"Grant County"," Arkansas",5053,"0500000US05053","Cardiovascular diseases",-41.78
"Greene County"," Arkansas",5055,"0500000US05055","Cardiovascular diseases",-31.78
"Hempstead County"," Arkansas",5057,"0500000US05057","Cardiovascular diseases",-22.25
"Hot Spring County"," Arkansas",5059,"0500000US05059","Cardiovascular diseases",-34.07
"Howard County"," Arkansas",5061,"0500000US05061","Cardiovascular diseases",-22.4
"Independence County"," Arkansas",5063,"0500000US05063","Cardiovascular diseases",-31.87
"Izard County"," Arkansas",5065,"0500000US05065","Cardiovascular diseases",-35.1
"Jackson County"," Arkansas",5067,"0500000US05067","Cardiovascular diseases",-24.01
"Jefferson County"," Arkansas",5069,"0500000US05069","Cardiovascular diseases",-29.31
"Johnson County"," Arkansas",5071,"0500000US05071","Cardiovascular diseases",-34.24
"Lafayette County"," Arkansas",5073,"0500000US05073","Cardiovascular diseases",-28.18
"Lawrence County"," Arkansas",5075,"0500000US05075","Cardiovascular diseases",-31.68
"Lee County"," Arkansas",5077,"0500000US05077","Cardiovascular diseases",-35.23
"Lincoln County"," Arkansas",5079,"0500000US05079","Cardiovascular diseases",-29.97
"Little River County"," Arkansas",5081,"0500000US05081","Cardiovascular diseases",-26.38
"Logan County"," Arkansas",5083,"0500000US05083","Cardiovascular diseases",-34.81
"Lonoke County"," Arkansas",5085,"0500000US05085","Cardiovascular diseases",-39.66
"Madison County"," Arkansas",5087,"0500000US05087","Cardiovascular diseases",-31.21
"Marion County"," Arkansas",5089,"0500000US05089","Cardiovascular diseases",-30.28
"Miller County"," Arkansas",5091,"0500000US05091","Cardiovascular diseases",-39.47
"Mississippi County"," Arkansas",5093,"0500000US05093","Cardiovascular diseases",-30.06
"Monroe County"," Arkansas",5095,"0500000US05095","Cardiovascular diseases",-34.28
"Montgomery County"," Arkansas",5097,"0500000US05097","Cardiovascular diseases",-36.71
"Nevada County"," Arkansas",5099,"0500000US05099","Cardiovascular diseases",-28.04
"Newton County"," Arkansas",5101,"0500000US05101","Cardiovascular diseases",-31.98
"Ouachita County"," Arkansas",5103,"0500000US05103","Cardiovascular diseases",-27.35
"Perry County"," Arkansas",5105,"0500000US05105","Cardiovascular diseases",-42.28
"Phillips County"," Arkansas",5107,"0500000US05107","Cardiovascular diseases",-34.34
"Pike County"," Arkansas",5109,"0500000US05109","Cardiovascular diseases",-26.37
"Poinsett County"," Arkansas",5111,"0500000US05111","Cardiovascular diseases",-24.25
"Polk County"," Arkansas",5113,"0500000US05113","Cardiovascular diseases",-30.13
"Pope County"," Arkansas",5115,"0500000US05115","Cardiovascular diseases",-34.02
"Prairie County"," Arkansas",5117,"0500000US05117","Cardiovascular diseases",-38.76
"Pulaski County"," Arkansas",5119,"0500000US05119","Cardiovascular diseases",-44.05
"Randolph County"," Arkansas",5121,"0500000US05121","Cardiovascular diseases",-36.09
"Saint Francis County"," Arkansas",5123,"0500000US05123","Cardiovascular diseases",-33.61
"Saline County"," Arkansas",5125,"0500000US05125","Cardiovascular diseases",-47.05
"Scott County"," Arkansas",5127,"0500000US05127","Cardiovascular diseases",-32.83
"Searcy County"," Arkansas",5129,"0500000US05129","Cardiovascular diseases",-29.11
"Sebastian County"," Arkansas",5131,"0500000US05131","Cardiovascular diseases",-35.19
"Sevier County"," Arkansas",5133,"0500000US05133","Cardiovascular diseases",-38.87
"Sharp County"," Arkansas",5135,"0500000US05135","Cardiovascular diseases",-26.86
"Stone County"," Arkansas",5137,"0500000US05137","Cardiovascular diseases",-44.38
"Union County"," Arkansas",5139,"0500000US05139","Cardiovascular diseases",-36.42
"Van Buren County"," Arkansas",5141,"0500000US05141","Cardiovascular diseases",-38.56
"Washington County"," Arkansas",5143,"0500000US05143","Cardiovascular diseases",-37.62
"White County"," Arkansas",5145,"0500000US05145","Cardiovascular diseases",-28.58
"Woodruff County"," Arkansas",5147,"0500000US05147","Cardiovascular diseases",-28.03
"Yell County"," Arkansas",5149,"0500000US05149","Cardiovascular diseases",-30.91
"Alameda County"," California",6001,"0500000US06001","Cardiovascular diseases",-59.88
"Alpine County"," California",6003,"0500000US06003","Cardiovascular diseases",-46.16
"Amador County"," California",6005,"0500000US06005","Cardiovascular diseases",-41.71
"Butte County"," California",6007,"0500000US06007","Cardiovascular diseases",-36.99
"Calaveras County"," California",6009,"0500000US06009","Cardiovascular diseases",-46.42
"Colusa County"," California",6011,"0500000US06011","Cardiovascular diseases",-58.97
"Contra Costa County"," California",6013,"0500000US06013","Cardiovascular diseases",-52.11
"Del Norte County"," California",6015,"0500000US06015","Cardiovascular diseases",-43.29
"El Dorado County"," California",6017,"0500000US06017","Cardiovascular diseases",-51.81
"Fresno County"," California",6019,"0500000US06019","Cardiovascular diseases",-40.21
"Glenn County"," California",6021,"0500000US06021","Cardiovascular diseases",-50.62
"Humboldt County"," California",6023,"0500000US06023","Cardiovascular diseases",-39.68
"Imperial County"," California",6025,"0500000US06025","Cardiovascular diseases",-57.49
"Inyo County"," California",6027,"0500000US06027","Cardiovascular diseases",-41.56
"Kern County"," California",6029,"0500000US06029","Cardiovascular diseases",-40.46
"Kings County"," California",6031,"0500000US06031","Cardiovascular diseases",-55.54
"Lake County"," California",6033,"0500000US06033","Cardiovascular diseases",-33.14
"Lassen County"," California",6035,"0500000US06035","Cardiovascular diseases",-42.96
"Los Angeles County"," California",6037,"0500000US06037","Cardiovascular diseases",-58.99
"Madera County"," California",6039,"0500000US06039","Cardiovascular diseases",-42.26
"Marin County"," California",6041,"0500000US06041","Cardiovascular diseases",-62.6
"Mariposa County"," California",6043,"0500000US06043","Cardiovascular diseases",-49.86
"Mendocino County"," California",6045,"0500000US06045","Cardiovascular diseases",-43.65
"Merced County"," California",6047,"0500000US06047","Cardiovascular diseases",-44.69
"Modoc County"," California",6049,"0500000US06049","Cardiovascular diseases",-39.92
"Mono County"," California",6051,"0500000US06051","Cardiovascular diseases",-52.33
"Monterey County"," California",6053,"0500000US06053","Cardiovascular diseases",-54.87
"Napa County"," California",6055,"0500000US06055","Cardiovascular diseases",-40.79
"Nevada County"," California",6057,"0500000US06057","Cardiovascular diseases",-47.77
"Orange County"," California",6059,"0500000US06059","Cardiovascular diseases",-53.28
"Placer County"," California",6061,"0500000US06061","Cardiovascular diseases",-54.83
"Plumas County"," California",6063,"0500000US06063","Cardiovascular diseases",-41.83
"Riverside County"," California",6065,"0500000US06065","Cardiovascular diseases",-51.46
"Sacramento County"," California",6067,"0500000US06067","Cardiovascular diseases",-46.18
"San Benito County"," California",6069,"0500000US06069","Cardiovascular diseases",-54.38
"San Bernardino County"," California",6071,"0500000US06071","Cardiovascular diseases",-47.85
"San Diego County"," California",6073,"0500000US06073","Cardiovascular diseases",-50.97
"San Francisco County"," California",6075,"0500000US06075","Cardiovascular diseases",-61.93
"San Joaquin County"," California",6077,"0500000US06077","Cardiovascular diseases",-44.03
"San Luis Obispo County"," California",6079,"0500000US06079","Cardiovascular diseases",-47.29
"San Mateo County"," California",6081,"0500000US06081","Cardiovascular diseases",-58.47
"Santa Barbara County"," California",6083,"0500000US06083","Cardiovascular diseases",-45.89
"Santa Clara County"," California",6085,"0500000US06085","Cardiovascular diseases",-60.25
"Santa Cruz County"," California",6087,"0500000US06087","Cardiovascular diseases",-47.27
"Shasta County"," California",6089,"0500000US06089","Cardiovascular diseases",-32.66
"Sierra County"," California",6091,"0500000US06091","Cardiovascular diseases",-42.5
"Siskiyou County"," California",6093,"0500000US06093","Cardiovascular diseases",-42.13
"Solano County"," California",6095,"0500000US06095","Cardiovascular diseases",-55.79
"Sonoma County"," California",6097,"0500000US06097","Cardiovascular diseases",-48.4
"Stanislaus County"," California",6099,"0500000US06099","Cardiovascular diseases",-36.03
"Sutter County"," California",6101,"0500000US06101","Cardiovascular diseases",-46.16
"Tehama County"," California",6103,"0500000US06103","Cardiovascular diseases",-44.17
"Trinity County"," California",6105,"0500000US06105","Cardiovascular diseases",-48
"Tulare County"," California",6107,"0500000US06107","Cardiovascular diseases",-41.44
"Tuolumne County"," California",6109,"0500000US06109","Cardiovascular diseases",-42.16
"Ventura County"," California",6111,"0500000US06111","Cardiovascular diseases",-51.61
"Yolo County"," California",6113,"0500000US06113","Cardiovascular diseases",-60.15
"Yuba County"," California",6115,"0500000US06115","Cardiovascular diseases",-36.02
"Adams County"," Colorado",8001,"0500000US08001","Cardiovascular diseases",-46.64
"Alamosa County"," Colorado",8003,"0500000US08003","Cardiovascular diseases",-39.2
"Arapahoe County"," Colorado",8005,"0500000US08005","Cardiovascular diseases",-46.64
"Archuleta County"," Colorado",8007,"0500000US08007","Cardiovascular diseases",-57.07
"Baca County"," Colorado",8009,"0500000US08009","Cardiovascular diseases",-38.39
"Bent County"," Colorado",8011,"0500000US08011","Cardiovascular diseases",-42.69
"Boulder County"," Colorado",8013,"0500000US08013","Cardiovascular diseases",-46.64
"Broomfield County"," Colorado",8014,"0500000US08014","Cardiovascular diseases",-46.64
"Chaffee County"," Colorado",8015,"0500000US08015","Cardiovascular diseases",-59.01
"Cheyenne County"," Colorado",8017,"0500000US08017","Cardiovascular diseases",-49.1
"Clear Creek County"," Colorado",8019,"0500000US08019","Cardiovascular diseases",-54.77
"Conejos County"," Colorado",8021,"0500000US08021","Cardiovascular diseases",-43.37
"Costilla County"," Colorado",8023,"0500000US08023","Cardiovascular diseases",-44.53
"Crowley County"," Colorado",8025,"0500000US08025","Cardiovascular diseases",-51.08
"Custer County"," Colorado",8027,"0500000US08027","Cardiovascular diseases",-55.31
"Delta County"," Colorado",8029,"0500000US08029","Cardiovascular diseases",-28.4
"Denver County"," Colorado",8031,"0500000US08031","Cardiovascular diseases",-46.64
"Dolores County"," Colorado",8033,"0500000US08033","Cardiovascular diseases",-39.64
"Douglas County"," Colorado",8035,"0500000US08035","Cardiovascular diseases",-64.67
"Eagle County"," Colorado",8037,"0500000US08037","Cardiovascular diseases",-67.46
"El Paso County"," Colorado",8041,"0500000US08041","Cardiovascular diseases",-46.65
"Elbert County"," Colorado",8039,"0500000US08039","Cardiovascular diseases",-53.29
"Fremont County"," Colorado",8043,"0500000US08043","Cardiovascular diseases",-46.34
"Garfield County"," Colorado",8045,"0500000US08045","Cardiovascular diseases",-47.09
"Gilpin County"," Colorado",8047,"0500000US08047","Cardiovascular diseases",-46.87
"Grand County"," Colorado",8049,"0500000US08049","Cardiovascular diseases",-60.37
"Gunnison County"," Colorado",8051,"0500000US08051","Cardiovascular diseases",-54.84
"Hinsdale County"," Colorado",8053,"0500000US08053","Cardiovascular diseases",-67.27
"Huerfano County"," Colorado",8055,"0500000US08055","Cardiovascular diseases",-40.72
"Jackson County"," Colorado",8057,"0500000US08057","Cardiovascular diseases",-53.21
"Jefferson County"," Colorado",8059,"0500000US08059","Cardiovascular diseases",-46.64
"Kiowa County"," Colorado",8061,"0500000US08061","Cardiovascular diseases",-47.55
"Kit Carson County"," Colorado",8063,"0500000US08063","Cardiovascular diseases",-49.6
"La Plata County"," Colorado",8067,"0500000US08067","Cardiovascular diseases",-54.47
"Lake County"," Colorado",8065,"0500000US08065","Cardiovascular diseases",-56.08
"Larimer County"," Colorado",8069,"0500000US08069","Cardiovascular diseases",-44.42
"Las Animas County"," Colorado",8071,"0500000US08071","Cardiovascular diseases",-42.97
"Lincoln County"," Colorado",8073,"0500000US08073","Cardiovascular diseases",-51.65
"Logan County"," Colorado",8075,"0500000US08075","Cardiovascular diseases",-43.35
"Mesa County"," Colorado",8077,"0500000US08077","Cardiovascular diseases",-38.05
"Mineral County"," Colorado",8079,"0500000US08079","Cardiovascular diseases",-52.76
"Moffat County"," Colorado",8081,"0500000US08081","Cardiovascular diseases",-43.96
"Montezuma County"," Colorado",8083,"0500000US08083","Cardiovascular diseases",-35.16
"Montrose County"," Colorado",8085,"0500000US08085","Cardiovascular diseases",-40.17
"Morgan County"," Colorado",8087,"0500000US08087","Cardiovascular diseases",-51.46
"Otero County"," Colorado",8089,"0500000US08089","Cardiovascular diseases",-39.76
"Ouray County"," Colorado",8091,"0500000US08091","Cardiovascular diseases",-51.98
"Park County"," Colorado",8093,"0500000US08093","Cardiovascular diseases",-57
"Phillips County"," Colorado",8095,"0500000US08095","Cardiovascular diseases",-49.31
"Pitkin County"," Colorado",8097,"0500000US08097","Cardiovascular diseases",-66.9
"Prowers County"," Colorado",8099,"0500000US08099","Cardiovascular diseases",-50.71
"Pueblo County"," Colorado",8101,"0500000US08101","Cardiovascular diseases",-47.51
"Rio Blanco County"," Colorado",8103,"0500000US08103","Cardiovascular diseases",-48.47
"Rio Grande County"," Colorado",8105,"0500000US08105","Cardiovascular diseases",-37.37
"Routt County"," Colorado",8107,"0500000US08107","Cardiovascular diseases",-62.48
"Saguache County"," Colorado",8109,"0500000US08109","Cardiovascular diseases",-52.97
"San Juan County"," Colorado",8111,"0500000US08111","Cardiovascular diseases",-50.16
"San Miguel County"," Colorado",8113,"0500000US08113","Cardiovascular diseases",-56.78
"Sedgwick County"," Colorado",8115,"0500000US08115","Cardiovascular diseases",-40.24
"Summit County"," Colorado",8117,"0500000US08117","Cardiovascular diseases",-63.57
"Teller County"," Colorado",8119,"0500000US08119","Cardiovascular diseases",-53.19
"Washington County"," Colorado",8121,"0500000US08121","Cardiovascular diseases",-53.05
"Weld County"," Colorado",8123,"0500000US08123","Cardiovascular diseases",-46.64
"Yuma County"," Colorado",8125,"0500000US08125","Cardiovascular diseases",-48.45
"Fairfield County"," Connecticut",9001,"0500000US09001","Cardiovascular diseases",-55.6
"Hartford County"," Connecticut",9003,"0500000US09003","Cardiovascular diseases",-49.44
"Litchfield County"," Connecticut",9005,"0500000US09005","Cardiovascular diseases",-51.85
"Middlesex County"," Connecticut",9007,"0500000US09007","Cardiovascular diseases",-58.24
"New Haven County"," Connecticut",9009,"0500000US09009","Cardiovascular diseases",-55.04
"New London County"," Connecticut",9011,"0500000US09011","Cardiovascular diseases",-55.82
"Tolland County"," Connecticut",9013,"0500000US09013","Cardiovascular diseases",-54.06
"Windham County"," Connecticut",9015,"0500000US09015","Cardiovascular diseases",-47.76
"Kent County"," Delaware",10001,"0500000US010001","Cardiovascular diseases",-49.05
"New Castle County"," Delaware",10003,"0500000US010003","Cardiovascular diseases",-54.05
"Sussex County"," Delaware",10005,"0500000US010005","Cardiovascular diseases",-53.86
"District of Columbia"," District of Columbia",11001,"0500000US011001","Cardiovascular diseases",-43.44
"Alachua County"," Florida",12001,"0500000US012001","Cardiovascular diseases",-51.53
"Baker County"," Florida",12003,"0500000US012003","Cardiovascular diseases",-46.43
"Bay County"," Florida",12005,"0500000US012005","Cardiovascular diseases",-43.58
"Bradford County"," Florida",12007,"0500000US012007","Cardiovascular diseases",-48.74
"Brevard County"," Florida",12009,"0500000US012009","Cardiovascular diseases",-45.44
"Broward County"," Florida",12011,"0500000US012011","Cardiovascular diseases",-41.06
"Calhoun County"," Florida",12013,"0500000US012013","Cardiovascular diseases",-44.83
"Charlotte County"," Florida",12015,"0500000US012015","Cardiovascular diseases",-52.62
"Citrus County"," Florida",12017,"0500000US012017","Cardiovascular diseases",-34.47
"Clay County"," Florida",12019,"0500000US012019","Cardiovascular diseases",-53.81
"Collier County"," Florida",12021,"0500000US012021","Cardiovascular diseases",-63.39
"Columbia County"," Florida",12023,"0500000US012023","Cardiovascular diseases",-43.27
"DeSoto County"," Florida",12027,"0500000US012027","Cardiovascular diseases",-61.12
"Dixie County"," Florida",12029,"0500000US012029","Cardiovascular diseases",-36.93
"Duval County"," Florida",12031,"0500000US012031","Cardiovascular diseases",-47.59
"Escambia County"," Florida",12033,"0500000US012033","Cardiovascular diseases",-42.47
"Flagler County"," Florida",12035,"0500000US012035","Cardiovascular diseases",-56.32
"Franklin County"," Florida",12037,"0500000US012037","Cardiovascular diseases",-47.9
"Gadsden County"," Florida",12039,"0500000US012039","Cardiovascular diseases",-36.62
"Gilchrist County"," Florida",12041,"0500000US012041","Cardiovascular diseases",-54
"Glades County"," Florida",12043,"0500000US012043","Cardiovascular diseases",-61.59
"Gulf County"," Florida",12045,"0500000US012045","Cardiovascular diseases",-44.15
"Hamilton County"," Florida",12047,"0500000US012047","Cardiovascular diseases",-47.68
"Hardee County"," Florida",12049,"0500000US012049","Cardiovascular diseases",-57.28
"Hendry County"," Florida",12051,"0500000US012051","Cardiovascular diseases",-56.39
"Hernando County"," Florida",12053,"0500000US012053","Cardiovascular diseases",-39.18
